variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1075,1,3,3,none,105.42,25.409,70.4636,0.4152,56.66,26.226,25.69,0.293,155.52,236.96,148,26,197,3,0
full,1076,1,3,3,none,106.81,25.502,71.6499,0.4201,56.43,26.229,25.68,0.298,160.98,215.92,144,47,140,3,0
full,1077,1,3,3,none,93.72,23.346,62.32,0.3874,58.21,26.238,25.69,0.259,176.16,221.16,151,18,136,2,0
full,1078,1,3,3,none,100.97,24.403,67.4795,0.4174,57.23,26.23,25.69,0.281,173.02,222.75,148,25,193,4,0
full,1079,1,3,3,none,100.05,23.685,67.1879,0.4367,57.28,26.231,25.72,0.28,164.9,216.73,149,28,106,1,0
full,1080,0,1,3,collision,32.02,7.766,21.5322,0.1225,65.93,26.299,25.79,0.089,178.51,216.3,52,12,48,1,1
full,1081,0,3,3,collision,99.7,23.559,66.2681,0.3274,57.46,26.229,25.79,0.276,183.66,275.42,156,31,163,5,1
full,1082,1,3,3,none,107.21,25.662,71.1155,0.3896,56.54,26.229,25.69,0.296,158.3,245.14,152,20,214,5,0
full,1083,1,3,3,none,99.88,23.268,66.8596,0.4386,57.35,26.232,25.7,0.278,176.51,234.32,142,31,117,1,0
full,1084,1,3,3,none,102.14,25.022,68.1212,0.4137,57.1,26.229,25.69,0.284,176.36,231.91,144,28,129,3,0
full,1085,0,2,3,collision,79.73,18.816,53.5318,0.3301,59.87,26.25,25.79,0.223,168.41,228.62,105,29,131,6,1
full,1086,1,3,3,none,105.45,24.565,70.6072,0.4498,56.63,26.226,25.69,0.294,160.17,224.49,149,38,114,2,0
full,1087,1,3,3,none,109.83,24.723,73.3202,0.4042,56.12,26.221,25.69,0.305,157.23,224.11,149,30,172,4,0
full,1088,0,1,3,collision,37.65,8.368,25.3832,0.1583,65.2,26.292,25.8,0.106,92.89,188.6,51,13,52,2,1
full,1089,1,3,3,none,110.31,24.014,73.6257,0.4363,56.06,26.226,25.68,0.306,159.73,210.53,157,31,150,4,0
full,1090,1,3,3,none,95.66,22.857,63.7137,0.4337,57.94,26.236,25.72,0.265,180.45,228.62,145,20,111,1,0
full,1091,1,3,3,none,102.76,23.703,68.4691,0.3955,57.04,26.229,25.69,0.285,168.76,232.11,149,34,122,2,0
full,1092,1,3,3,none,111.98,25.293,74.6356,0.4398,55.87,26.22,25.68,0.311,168.31,224.69,151,34,226,3,0
full,1093,1,3,3,none,107.18,24.614,71.7297,0.4055,56.42,26.224,25.69,0.299,170.14,244.58,150,37,123,4,0
full,1094,1,3,3,none,105.4,25.417,70.9872,0.4736,56.56,26.225,25.69,0.295,145.46,218.99,145,35,185,3,0
full,1095,1,3,3,none,103.24,24.615,68.0366,0.3252,57.12,26.23,25.69,0.283,171.11,221.18,150,19,189,4,0
full,1096,1,3,3,none,98.91,24.317,65.1322,0.2642,57.67,26.238,25.7,0.271,142.96,224.41,148,17,177,2,0
full,1097,1,3,3,none,109.99,25.073,73.0538,0.3485,56.17,26.222,25.69,0.304,164.07,216.09,148,30,186,4,0
full,1098,1,3,3,none,93.43,23.055,62.0509,0.3953,58.26,26.239,25.69,0.258,151.02,216.14,142,14,114,0,0
full,1099,1,3,3,none,94.16,22.928,63.332,0.4197,58.01,26.237,25.72,0.263,160.8,226.83,140,32,116,0,0
full,1100,1,3,3,none,92.85,23.508,61.7692,0.3583,58.31,26.239,25.69,0.257,175.81,225.43,149,19,159,1,0
full,1101,1,3,3,none,97.47,23.941,65.0734,0.394,57.68,26.234,25.69,0.271,176.89,242.44,152,28,160,2,0
full,1102,0,2,3,collision,69.84,15.47,46.6971,0.2755,61.17,26.26,25.8,0.194,181.14,225.37,106,25,146,2,1
full,1103,1,3,3,none,101.13,26.432,67.3139,0.4102,57.26,26.231,25.69,0.28,172.03,220.14,147,24,144,5,0
full,1104,1,3,3,none,94.99,23.935,63.6763,0.3996,57.95,26.236,25.69,0.265,158.46,216.13,144,30,143,2,0
full,1105,1,3,3,none,101.03,24.354,67.7519,0.4423,57.17,26.23,25.69,0.282,155.38,202.37,141,25,157,2,0
